iter	Passed	Remaining
0	6	6033
1	9	4976
2	13	4618
3	18	4534
4	21	4336
5	25	4151
6	28	3998
7	31	3847
8	33	3733
9	36	3647
10	39	3573
11	42	3509
12	45	3448
13	48	3408
14	51	3373
15	54	3340
16	57	3308
17	60	3284
18	62	3249
19	65	3227
20	68	3203
21	71	3181
22	74	3157
23	77	3141
24	80	3133
25	83	3125
26	86	3106
27	89	3091
28	91	3073
29	94	3059
30	97	3043
31	100	3029
32	103	3020
33	105	3009
34	108	2996
35	111	2985
36	114	2973
37	116	2959
38	119	2944
39	122	2930
40	124	2916
41	127	2906
42	130	2896
43	132	2883
44	135	2871
45	137	2861
46	140	2850
47	143	2840
48	145	2832
49	148	2826
50	151	2821
51	154	2813
52	156	2805
53	159	2795
54	162	2788
55	164	2780
56	167	2772
57	170	2764
58	173	2769
59	176	2769
60	180	2776
61	183	2774
62	186	2770
63	189	2772
64	192	2768
65	195	2764
66	198	2760
67	200	2752
68	203	2746
69	206	2739
70	208	2733
71	211	2731
72	214	2725
73	217	2719
74	220	2714
75	222	2707
76	225	2702
77	228	2700
78	231	2694
79	233	2688
80	236	2683
81	239	2677
82	241	2671
83	244	2665
84	247	2661
85	250	2658
86	252	2652
87	255	2647
88	258	2644
89	261	2640
90	263	2634
91	266	2627
92	268	2621
93	271	2616
94	274	2614
95	277	2610
96	279	2605
97	282	2600
98	285	2594
99	287	2590
100	290	2586
101	293	2580
102	295	2575
103	298	2569
104	300	2564
105	303	2559
106	306	2554
107	309	2552
108	311	2547
109	314	2541
110	316	2536
111	319	2531
112	321	2526
113	324	2523
114	327	2518
115	329	2514
116	332	2511
117	335	2506
118	337	2501
119	340	2498
120	343	2495
121	346	2491
122	349	2488
123	352	2489
124	355	2488
125	358	2488
126	361	2484
127	364	2480
128	366	2477
129	369	2473
130	372	2469
131	375	2466
132	377	2462
133	380	2458
134	382	2453
135	385	2449
136	388	2446
137	390	2442
138	393	2438
139	396	2434
140	398	2430
141	401	2425
142	404	2423
143	406	2419
144	409	2415
145	412	2410
146	414	2406
147	417	2402
148	419	2398
149	422	2394
150	425	2390
151	427	2386
152	430	2382
153	432	2378
154	436	2377
155	438	2374
156	441	2370
157	444	2367
158	446	2363
159	449	2360
160	452	2355
161	454	2352
162	457	2348
163	460	2344
164	462	2341
165	465	2337
166	467	2333
167	470	2329
168	472	2325
169	475	2322
170	478	2318
171	480	2314
172	483	2310
173	486	2307
174	488	2303
175	491	2300
176	493	2296
177	496	2293
178	499	2289
179	501	2286
180	504	2282
181	507	2279
182	509	2275
183	512	2272
184	514	2268
185	517	2265
186	520	2262
187	522	2258
188	525	2254
189	527	2250
190	530	2247
191	533	2243
192	536	2242
193	539	2241
194	542	2240
195	545	2237
196	548	2234
197	550	2231
198	553	2228
199	556	2225
200	558	2221
201	561	2218
202	564	2215
203	567	2212
204	569	2209
205	572	2205
206	574	2201
207	577	2198
208	579	2194
209	582	2191
210	585	2187
211	587	2183
212	590	2180
213	592	2177
214	595	2173
215	598	2171
216	600	2167
217	603	2163
218	605	2160
219	608	2157
220	610	2153
221	613	2150
222	616	2146
223	618	2143
224	621	2139
225	623	2136
226	626	2132
227	629	2129
228	631	2126
229	634	2123
230	637	2120
231	639	2117
232	642	2114
233	645	2111
234	647	2108
235	650	2104
236	652	2101
237	655	2098
238	658	2095
239	660	2092
240	663	2089
241	665	2085
242	668	2082
243	670	2078
244	673	2075
245	676	2072
246	678	2069
247	681	2066
248	684	2063
249	686	2059
250	689	2056
251	691	2053
252	694	2050
253	697	2047
254	699	2043
255	702	2040
256	704	2037
257	707	2034
258	709	2031
259	712	2028
260	715	2024
261	717	2021
262	721	2020
263	724	2018
264	727	2016
265	729	2013
266	732	2010
267	735	2007
268	737	2004
269	740	2001
270	743	1999
271	745	1996
272	748	1993
273	751	1990
274	753	1986
275	756	1983
276	758	1980
277	761	1977
278	764	1974
279	766	1971
280	769	1968
281	771	1965
282	774	1962
283	777	1959
284	779	1955
285	782	1952
286	784	1949
287	787	1945
288	789	1942
289	792	1939
290	794	1936
291	797	1933
292	799	1930
293	802	1926
294	805	1923
295	807	1920
296	810	1917
297	812	1914
298	815	1911
299	817	1908
300	820	1905
301	823	1902
302	825	1899
303	828	1896
304	830	1893
305	833	1890
306	836	1887
307	838	1884
308	841	1881
309	843	1878
310	846	1875
311	849	1872
312	851	1869
313	854	1866
314	856	1863
315	859	1860
316	862	1857
317	864	1854
318	867	1851
319	869	1848
320	872	1845
321	874	1842
322	877	1839
323	880	1836
324	882	1833
325	885	1830
326	888	1827
327	890	1824
328	893	1821
329	896	1820
330	899	1818
331	903	1817
332	905	1814
333	908	1811
334	911	1808
335	913	1805
336	916	1802
337	919	1800
338	921	1797
339	924	1794
340	927	1791
341	930	1790
342	934	1789
343	936	1786
344	939	1784
345	942	1781
346	944	1778
347	947	1775
348	950	1772
349	952	1769
350	955	1766
351	958	1763
352	960	1760
353	963	1757
354	965	1754
355	968	1752
356	971	1749
357	973	1746
358	976	1743
359	978	1739
360	981	1737
361	984	1734
362	986	1731
363	989	1728
364	992	1725
365	994	1722
366	997	1719
367	1000	1717
368	1002	1714
369	1005	1711
370	1007	1708
371	1010	1705
372	1012	1702
373	1015	1699
374	1018	1696
375	1020	1693
376	1023	1690
377	1026	1688
378	1029	1686
379	1031	1683
380	1034	1680
381	1037	1678
382	1040	1675
383	1042	1672
384	1045	1669
385	1047	1666
386	1050	1663
387	1052	1660
388	1055	1658
389	1058	1655
390	1061	1652
391	1063	1649
392	1066	1646
393	1069	1644
394	1071	1641
395	1074	1638
396	1076	1635
397	1079	1632
398	1081	1629
399	1084	1626
400	1087	1625
401	1090	1622
402	1094	1620
403	1096	1617
